,Occupation,Marital_Status,Purchase_Sum,annual_income,number_of_children,proximity_town,sum,Age_18-25,Age_26-35,Age_36-45,Age_46-50,Age_51-55,Age_55+,Gender_M,City_Category_B,City_Category_C,Stay_In_Current_City_Years_1,Stay_In_Current_City_Years_2,Stay_In_Current_City_Years_3,Stay_In_Current_City_Years_4+
88,7,1,28894,52730.81464,0,7.17571921,28894,0,0,1,0,0,0,1,0,1,0,0,1,0
89,4,0,199631,192500.1188,1,0.2971365,199631,1,0,0,0,0,0,0,1,0,1,0,0,0
90,17,1,208578,243941.6422,2,1.177148887,208578,0,1,0,0,0,0,1,1,0,1,0,0,0
91,17,0,15482,28239.37464,0,15.8428745,15482,0,1,0,0,0,0,1,0,1,1,0,0,0
92,0,1,61577,43551.15693,1,2.2933172,61577,0,0,0,1,0,0,1,0,1,0,0,0,1
93,16,1,13050,0.0,0,19.82658,13050,0,1,0,0,0,0,0,0,1,0,1,0,0
94,3,0,106311,70641.16762,1,2.866667163,106311,0,0,1,0,0,0,0,0,1,0,0,1,0
95,7,1,8576,0.0,3,24.41456623,8576,0,0,1,0,0,0,0,0,1,0,1,0,0
96,10,0,49941,23137.86169,0,11.434856,49941,0,0,0,0,0,0,0,0,1,1,0,0,0
97,17,0,71145,72808.98102,1,6.82135897,71145,0,0,1,0,0,0,1,0,1,0,0,0,1
98,3,0,151798,104092.3112,1,4.742193126,151798,1,0,0,0,0,0,0,0,0,1,0,0,0
99,19,0,98007,92503.50186,0,14.9477871,98007,0,0,1,0,0,0,1,0,1,0,0,1,0
100,7,1,107307,133060.7864,1,3.1286674,107307,0,0,0,1,0,0,1,1,0,0,1,0,0
101,12,1,32691,0.0,1,7.465814568,32691,0,1,0,0,0,0,1,0,1,0,0,1,0
102,12,1,63275,64949.71417,0,8.7993985,63275,0,0,0,1,0,0,1,0,1,1,0,0,0
103,11,0,41370,78004.41159,0,3.84813197,41370,0,0,1,0,0,0,0,0,1,0,0,0,1
104,18,0,121471,87153.05584,1,8.183681448,121471,0,0,0,1,0,0,1,0,1,0,0,0,1
105,12,0,2021,0.0,1,21.39337753,2021,0,1,0,0,0,0,1,0,1,0,0,1,0
106,15,1,33079,41000.34455,0,6.47294716,33079,0,0,0,1,0,0,1,0,1,1,0,0,0
107,2,0,74507,15516.20991,0,14.42794944,74507,0,1,0,0,0,0,1,1,0,0,0,0,1
108,15,0,76876,65794.16289,5,81.5579,76876,0,0,1,0,0,0,1,0,1,0,0,1,0
109,16,1,27262,44936.59598,0,14.2353917,27262,0,1,0,0,0,0,1,0,1,0,0,1,0
110,12,0,32487,0.0,0,0.797739152,32487,1,0,0,0,0,0,1,0,1,0,1,0,0
111,2,0,60681,41094.2503,2,5.182186648,60681,0,1,0,0,0,0,0,0,1,0,0,0,0
112,17,1,71553,95600.29386,0,,71553,0,1,0,0,0,0,1,0,1,0,1,0,0
113,17,1,290791,292343.459,4,2.99133153,290791,0,1,0,0,0,0,1,0,0,0,1,0,0
114,17,0,181335,173442.0104,1,24.869216,181335,0,0,1,0,0,0,1,0,1,0,0,0,1
115,10,0,70476,79401.79203,0,12.59843555,70476,0,0,0,0,0,0,0,0,1,1,0,0,0
116,11,0,60543,14343.18616,0,11.35529866,60543,0,1,0,0,0,0,1,0,1,0,0,0,0
117,7,0,65501,93272.75214,0,22.368279,65501,0,0,1,0,0,0,1,0,1,0,1,0,0
118,4,0,39870,89900.23691,0,29.39947227,39870,1,0,0,0,0,0,0,0,1,1,0,0,0
119,9,1,385316,334234.7807,1,5.3123733,385316,0,0,1,0,0,0,1,1,0,0,0,0,1
120,7,1,15934,59345.65787,0,66.8622459,15934,0,0,0,0,0,1,1,0,1,1,0,0,0
121,14,1,86193,54255.92788,3,27.435457,86193,0,0,0,1,0,0,1,1,0,0,0,1,0
122,9,0,36944,78265.47898,1,35.7221828,36944,1,0,0,0,0,0,1,1,0,1,0,0,0
123,3,1,172369,185983.1663,1,27.8826735,172369,0,0,0,1,0,0,0,0,1,1,0,0,0
124,6,1,24243,0.0,0,16.61287711,24243,0,0,0,0,0,1,1,0,0,1,0,0,0
125,11,0,178149,219334.9476,1,2.468779116,178149,0,1,0,0,0,0,1,0,1,0,1,0,0
126,17,1,292643,246860.1466,1,8.757172695,292643,0,0,1,0,0,0,1,1,0,0,0,1,0
127,4,0,214114,249174.6557,0,17.42128,214114,1,0,0,0,0,0,1,0,1,0,0,0,1
128,17,0,58368,41206.92944,0,29.19128783,58368,0,1,0,0,0,0,1,0,1,1,0,0,0
129,0,1,113373,113559.3209,1,12.16193628,113373,0,1,0,0,0,0,0,0,1,1,0,0,0
130,0,1,113457,127589.684,1,8.94487938,113457,0,1,0,0,0,0,1,0,1,0,0,1,0
131,4,1,79795,125891.0017,2,2.1318926,79795,1,0,0,0,0,0,1,0,1,1,0,0,0
132,2,0,178264,202487.3044,1,19.1216766,178264,1,0,0,0,0,0,1,1,0,0,0,1,0
133,6,1,148533,122160.6871,1,8.75812379,148533,0,0,0,1,0,0,0,0,1,0,0,0,1
134,20,1,87539,111995.084,0,3.617984459,87539,1,0,0,0,0,0,1,0,1,1,0,0,0
135,20,0,271923,254481.8938,1,11.4546334,271923,0,1,0,0,0,0,0,0,1,0,1,0,0
136,1,0,30566,63828.69838,1,11.3287928,30566,0,0,1,0,0,0,0,1,0,0,0,1,0
137,13,1,4921,0.0,1,3.98712425,4921,0,0,1,0,0,0,1,0,1,1,0,0,0
138,7,0,65744,52446.71147,0,5.58875422,65744,0,1,0,0,0,0,1,0,0,0,1,0,0
139,3,0,69465,84555.79285,0,4.5368535,69465,1,0,0,0,0,0,1,0,1,0,0,0,0
140,4,0,50496,0.0,1,38.49361432,50496,1,0,0,0,0,0,1,0,1,0,0,0,1
141,20,1,486321,513708.1153,0,2.119324442,486321,0,0,1,0,0,0,0,1,0,0,0,1,0
142,4,0,264828,240727.1184,1,2.1414382,264828,1,0,0,0,0,0,1,1,0,0,0,0,1
143,17,1,457260,453987.9521,0,7.5157377,457260,0,0,0,0,1,0,1,1,0,0,0,1,0
144,1,1,434781,412144.1696,0,16.49878544,434781,0,1,0,0,0,0,1,1,0,0,1,0,0
145,7,1,172970,186166.5398,0,9.4359855,172970,0,0,1,0,0,0,1,1,0,0,0,0,0
146,20,1,334557,344712.7521,1,26.86677197,334557,0,1,0,0,0,0,0,0,0,1,0,0,0
147,4,0,27771,31248.10605,0,3.4736883,27771,1,0,0,0,0,0,1,0,0,0,0,1,0
148,10,0,53611,109916.0713,0,19.884371,53611,0,0,0,0,0,0,1,0,1,0,0,0,0
149,20,1,52547,9671.316862,1,32.5127199,52547,0,0,0,0,1,0,1,0,0,0,0,0,1
150,12,1,83591,100428.5366,0,7.47289322,83591,0,0,1,0,0,0,1,0,1,0,0,0,1
151,7,1,62953,53747.33395,1,4.126936134,62953,0,0,0,1,0,0,0,0,1,0,0,0,1
152,16,0,273561,332954.0195,2,3.715592223,273561,0,0,1,0,0,0,1,0,0,1,0,0,0
153,7,1,23027,34821.29582,0,0.373873276,23027,0,0,0,0,0,1,1,0,1,0,1,0,0
154,0,1,52538,54540.74881,0,3.33475,52538,0,0,0,1,0,0,0,0,0,1,0,0,0
155,7,0,10562,49532.28119,0,3.616592231,10562,0,0,1,0,0,0,1,0,1,0,0,1,0
156,16,1,263113,187697.639,0,8.59755389,263113,0,0,0,1,0,0,1,0,1,0,0,0,1
157,4,0,90538,102398.96,5,33.72896389,90538,1,0,0,0,0,0,0,0,1,0,0,0,1
158,4,0,247832,261739.3284,2,1.44174923,247832,1,0,0,0,0,0,1,0,0,1,0,0,0
159,13,0,8735,26826.9716,0,37.39289988,8735,0,0,0,0,0,1,0,0,1,1,0,0,0
160,16,0,97477,117867.5056,2,15.36372152,97477,1,0,0,0,0,0,1,0,0,1,0,0,0
161,4,1,322277,360707.5584,0,1.193863,322277,1,0,0,0,0,0,1,1,0,1,0,0,0
162,7,0,453068,422772.9107,0,9.194112298,453068,0,1,0,0,0,0,1,1,0,0,0,1,0
163,11,1,68773,81603.78721,3,22.8786293,68773,0,1,0,0,0,0,1,0,1,1,0,0,0
164,17,1,22047,40792.90305,2,7.736561274,22047,0,0,0,0,1,0,0,1,0,1,0,0,0
165,3,0,14070,2724.550037,1,18.934346,14070,0,1,0,0,0,0,1,0,1,0,1,0,0
166,0,1,513505,563560.4777,0,2.275585567,513505,0,1,0,0,0,0,1,1,0,1,0,0,0
167,16,0,143194,111448.6131,1,15.64934,143194,0,1,0,0,0,0,1,0,1,0,1,0,0
168,2,0,232009,278900.1596,2,76.2477662,232009,0,1,0,0,0,0,0,1,0,1,0,0,0
169,3,0,48822,60758.86972,1,9.86929676,48822,1,0,0,0,0,0,0,0,1,1,0,0,0
170,1,1,66716,43451.79373,0,9.1636268,66716,0,0,0,0,1,0,1,1,0,0,0,1,0
171,17,1,59522,63516.62241,2,14.312527,59522,0,0,0,0,0,1,1,0,0,0,1,0,0
172,0,0,44465,37682.77358,2,22.8855863,44465,0,1,0,0,0,0,1,0,0,1,0,0,0
173,12,0,25542,30064.21648,1,0.57137371,25542,0,0,0,1,0,0,1,0,1,0,0,0,1
174,17,0,298920,291192.7643,1,2.6932222,298920,1,0,0,0,0,0,1,0,1,1,0,0,0
175,4,0,118301,106013.6187,0,5.8754449,118301,1,0,0,0,0,0,1,0,1,0,0,0,0
176,1,1,115456,112585.525,2,14.23813824,115456,0,0,0,1,0,0,0,1,0,1,0,0,0
177,0,1,78784,127494.7881,0,4.8638681,78784,0,1,0,0,0,0,0,0,1,0,0,0,1
178,0,0,58805,63627.81707,3,31.66925,58805,0,0,0,1,0,0,1,0,1,0,0,0,0
179,5,0,72785,54103.0559,0,48.4191575,72785,1,0,0,0,0,0,1,0,1,0,0,0,0
180,1,0,326134,342756.154,3,24.137436,326134,0,0,0,1,0,0,0,1,0,1,0,0,0
181,16,0,105119,104103.2224,0,21.57565172,105119,0,0,0,0,0,1,1,0,1,0,1,0,0
182,0,0,15609,28395.79637,3,25.92183,15609,1,0,0,0,0,0,1,1,0,0,1,0,0
183,17,0,100636,122168.8834,3,15.3947493,100636,0,1,0,0,0,0,1,0,0,1,0,0,0
184,4,1,8861,0.0,0,21.3164,8861,1,0,0,0,0,0,1,0,1,1,0,0,0
185,1,0,327491,294411.7248,0,28.94412247,327491,1,0,0,0,0,0,1,1,0,0,1,0,0
186,15,1,147111,133107.7919,1,4.58438924,147111,0,0,0,1,0,0,0,0,1,1,0,0,0
187,10,0,46924,54748.56663,0,2.87218696,46924,0,0,0,0,0,0,0,0,1,0,0,1,0
188,12,1,776450,743972.4664,0,0.732451981,776450,0,1,0,0,0,0,1,1,0,0,0,0,1
189,9,0,90815,136115.8108,2,16.13653432,90815,0,0,1,0,0,0,0,0,1,0,0,0,1
190,14,0,23460,0.0,0,11.315739,23460,1,0,0,0,0,0,1,0,0,0,0,1,0
191,12,1,391923,399092.7983,0,25.5497992,391923,0,1,0,0,0,0,1,0,0,0,0,0,0
192,4,0,289223,248292.4538,1,5.77825636,289223,1,0,0,0,0,0,1,1,0,1,0,0,0
193,4,0,22058,0.0,1,38.54859311,22058,1,0,0,0,0,0,0,0,1,0,0,0,0
194,2,0,109780,127274.6682,1,41.65581656,109780,0,0,1,0,0,0,0,0,0,1,0,0,0
195,4,0,520679,491254.8577,2,4.8547446,520679,1,0,0,0,0,0,1,0,0,0,0,1,0
196,4,1,45054,60588.16773,0,7.122921,45054,1,0,0,0,0,0,0,1,0,1,0,0,0
197,7,1,282710,270175.6632,0,1.64759885,282710,0,1,0,0,0,0,1,1,0,1,0,0,0
198,12,0,224560,281507.0909,0,55.99621633,224560,0,0,1,0,0,0,1,0,0,1,0,0,0
199,17,0,5156,0.0,1,11.3154896,5156,0,1,0,0,0,0,1,0,1,1,0,0,0
200,12,1,24683,59658.47549,2,42.4431344,24683,0,1,0,0,0,0,1,1,0,1,0,0,0
201,17,1,187062,238271.6943,1,34.35526232,187062,0,0,1,0,0,0,1,0,1,1,0,0,0
202,1,0,13124,0.0,2,1.96312891,13124,0,0,1,0,0,0,1,1,0,0,0,0,1
203,10,0,89056,136013.2553,0,32.4687216,89056,0,0,0,0,0,0,0,0,1,0,0,0,0
204,17,1,38935,37320.00557,3,27.7289999,38935,0,0,0,1,0,0,1,0,1,1,0,0,0
205,16,0,134373,146231.7038,1,1.486988562,134373,0,1,0,0,0,0,1,0,1,0,0,1,0
206,20,0,90382,66745.00859,0,0.368377417,90382,1,0,0,0,0,0,1,0,1,1,0,0,0
207,14,1,26254,42939.89977,2,3.48127924,26254,0,0,1,0,0,0,1,0,1,1,0,0,0
208,13,0,494524,441462.1613,2,1.623686117,494524,0,0,0,1,0,0,1,1,0,1,0,0,0
209,4,0,15222,14893.68895,1,1.9539398,15222,1,0,0,0,0,0,1,0,0,1,0,0,0
210,14,1,35294,39468.61023,1,12.3774187,35294,0,0,1,0,0,0,1,0,1,0,0,1,0
211,4,0,29297,92633.72678,2,5.236282776,29297,0,1,0,0,0,0,0,0,0,0,0,0,0
212,12,0,94015,54948.29256,0,21.37353837,94015,0,1,0,0,0,0,1,0,0,0,0,1,0
213,0,1,13818,52671.32044,1,14.1389242,13818,0,1,0,0,0,0,0,1,0,0,1,0,0
214,1,0,91659,74087.08141,1,6.4764557,91659,0,1,0,0,0,0,1,0,0,1,0,0,0
215,17,0,173250,179444.7498,0,1.13428494,173250,0,1,0,0,0,0,1,1,0,0,0,0,1
216,7,0,348351,336648.1631,0,8.45193991,348351,0,1,0,0,0,0,1,0,0,0,0,0,0
217,20,0,14982,9877.764708,0,17.46854644,14982,0,0,1,0,0,0,1,1,0,0,0,0,0
218,15,0,3687,30700.27291,0,12.31387183,3687,0,1,0,0,0,0,1,0,0,1,0,0,0
219,10,0,169946,235256.9261,0,8.789431876,169946,1,0,0,0,0,0,1,0,1,1,0,0,0
220,1,0,195784,203323.1924,1,2.27286272,195784,0,0,0,1,0,0,1,0,1,1,0,0,0
221,3,0,142698,154065.1061,2,1.5535775,142698,0,1,0,0,0,0,1,0,0,1,0,0,0
222,20,1,39721,96548.81136,2,12.48317934,39721,0,1,0,0,0,0,1,0,0,1,0,0,0
223,20,1,26690,56431.81862,1,6.995967577,26690,0,0,0,1,0,0,0,0,1,0,1,0,0
224,7,0,15969,0.0,1,26.78653173,15969,0,0,1,0,0,0,1,0,1,0,1,0,0
225,0,0,460696,431267.2199,0,4.683836528,460696,0,1,0,0,0,0,1,1,0,0,0,0,0
226,5,0,65278,122931.9307,0,15.37139457,65278,0,1,0,0,0,0,1,1,0,0,1,0,0
227,6,1,143903,100000.2223,1,7.736548122,143903,0,1,0,0,0,0,1,0,1,1,0,0,0
228,7,0,212566,233244.9346,1,32.25452857,212566,0,0,0,0,1,0,0,1,0,0,0,0,0
229,19,0,61355,28496.22172,1,,61355,1,0,0,0,0,0,1,0,0,1,0,0,0
230,17,1,85323,80663.50719,1,16.831334,85323,0,0,0,0,1,0,1,0,0,1,0,0,0
231,20,1,21066,0.0,0,2.395251957,21066,0,0,1,0,0,0,1,0,1,1,0,0,0
232,4,0,289241,298415.7459,0,1.474993,289241,1,0,0,0,0,0,0,0,0,0,0,1,0
233,16,0,51452,53409.10105,1,6.15459694,51452,0,1,0,0,0,0,1,0,1,1,0,0,0
234,7,1,87773,49348.42668,1,0.13742725,87773,0,0,0,0,1,0,1,1,0,0,0,1,0
235,16,0,481700,545375.6416,0,9.99149875,481700,0,0,1,0,0,0,1,1,0,0,0,0,0
236,4,0,20184,0.0,1,5.545922744,20184,1,0,0,0,0,0,0,0,1,1,0,0,0
237,17,0,15241,0.0,1,34.3584424,15241,0,1,0,0,0,0,1,1,0,1,0,0,0
238,14,0,107418,132781.9244,1,2.566324675,107418,1,0,0,0,0,0,0,0,1,0,1,0,0
239,16,0,26474,18239.41678,0,6.58154697,26474,0,0,1,0,0,0,1,0,1,1,0,0,0
240,17,1,49817,29805.55684,0,61.8675456,49817,0,0,0,0,0,1,1,0,0,0,0,0,0
241,12,0,75221,13174.86736,0,27.69711982,75221,0,1,0,0,0,0,1,0,1,0,0,1,0
242,11,0,25371,8070.266417,0,38.266646,25371,0,1,0,0,0,0,0,0,1,1,0,0,0
243,17,0,15837,87414.14629,1,53.8795366,15837,0,0,1,0,0,0,1,0,1,0,0,0,1
244,0,1,302732,303027.6389,0,23.3757855,302732,0,0,1,0,0,0,1,0,1,1,0,0,0
245,16,0,62874,77421.03079,0,8.53787974,62874,0,0,0,1,0,0,1,0,1,0,0,1,0
246,18,0,76987,76796.16474,2,9.99279682,76987,1,0,0,0,0,0,1,0,0,1,0,0,0
247,7,1,73086,113385.0792,1,37.6419142,73086,0,1,0,0,0,0,1,0,1,0,0,0,0
248,1,0,154858,167916.7131,0,77.61849228,154858,0,1,0,0,0,0,1,1,0,0,0,0,1
249,19,0,230300,268478.1906,1,15.336682,230300,1,0,0,0,0,0,1,0,1,1,0,0,0
250,20,0,272899,240330.5543,1,,272899,0,1,0,0,0,0,1,0,0,0,0,0,1
251,1,0,158834,215556.6342,1,76.9621742,158834,0,1,0,0,0,0,0,0,1,1,0,0,0
252,7,0,73755,47520.74996,0,35.739198,73755,0,1,0,0,0,0,0,0,1,1,0,0,0
253,0,1,214496,203467.6375,3,26.3639213,214496,0,0,1,0,0,0,1,1,0,1,0,0,0
254,7,1,28160,1282.237706,1,51.177686,28160,0,0,1,0,0,0,0,0,0,0,0,0,1
255,11,0,69954,110812.387,1,2.9982754,69954,0,0,1,0,0,0,1,0,1,0,0,1,0
256,12,1,115615,114042.1252,0,33.52149335,115615,0,0,0,1,0,0,1,0,1,1,0,0,0
257,12,0,204186,227979.8315,1,14.6752775,204186,1,0,0,0,0,0,0,0,1,1,0,0,0
258,2,1,20855,0.0,0,2.63324577,20855,0,1,0,0,0,0,1,0,0,1,0,0,0
259,14,1,59209,116029.9411,1,32.2981687,59209,0,0,0,0,1,0,1,1,0,0,1,0,0
260,4,0,360167,379023.2425,1,5.93357255,360167,1,0,0,0,0,0,1,0,1,1,0,0,0
261,0,0,389467,380638.1023,3,6.77849262,389467,1,0,0,0,0,0,1,0,0,1,0,0,0
262,4,1,173033,179946.1573,0,11.744247,173033,1,0,0,0,0,0,1,1,0,0,1,0,0
263,4,0,82497,133985.7938,0,1.55975434,82497,1,0,0,0,0,0,1,0,0,0,0,0,1
